course_number	title	timetable_group	points
02631	Introduction to programming and data processing	F7	5
02461	Introduction to Intelligent Systems	E2A	10
10022	Physics 1	Autumn E1A (Mon 8-12) and Spring F1A (Mon 8-12)	5
01005	Advanced Engineering Mathematics 1	Autumn and Spring	10

01005	Advanced Engineering Mathematics 1	Autumn and Spring	10
10022	Physics 1	Autumn E1A (Mon 8-12) and Spring F1A (Mon 8-12)	5
02462	Signals and data	F5B	5
02464	Artificial Intelligence and Human Cognition	F1B	5
02403	Introduction to Mathematical Statistics	June	5

01017	Discrete Mathematics	E2B	5
02601	Introduction to Numerical Algorithms	F1B	5
02450	Introduction to Machine Learning and Data Mining	F4A, E4A	5.0
02456	Deep learning	E2A	5
01034	Advanced Engineering Mathematics 2	E1A	5
02445	Project in Statistical Evaluation for Artificial Intelligence and Data	January	5

26027	Fundamental Chemistry	F5A	5
02105	Algorithms and Data Structures 1	F2B	5
02463	Active machine learning and agency	F1B	5
02466	Project work - Bachelor of Artificial Intelligence and Data	F5B and June	10
42611	Theory of science in engineering	August	5

02635	Mathematical software programming	E1B	5
02405	Probability theory	E4B	5
02287	Logical Theories for Uncertainty and Learning	E2B	5
10316	Materials design with machine learning and artificial intelligence	January	5

02182	Symbolic Artificial Intelligence	F1B	5
02465	Introduction to reinforcement learning and control	F3B	5
02467	Computational Social Science	F5A	5

02502	Image analysis	F3A	5
00000	Bachelor project	AAA	20
