course_number	title	timetable_group	points
02282	Algorithms for Massive Data Sets	F1A	7.5
02808	Personal Data Interaction for Mobile and Wearables	F5	10
01410	Cryptology 1	F2A	5
42575	Technology and Innovation Management	E3B	5
02805	Social graphs and interactions	E5	10
02239	Data Security	E5B	7.5
02582	Computational Data Analysis	F2B	5
02806	Social data analysis and visualization	F3A	5
02460	Advanced Machine Learning	F1B	5
02506	Advanced Image Analysis	F5B	5
02807	Computational Tools for Data Science	E7	5
42436	Technology Entrepreneurship	E1B	5
02830	Advanced Project in Digital Media Engineering	E5B	10
