course_number	title	points	timetable_group
02238	Biometric Systems	5	June
02266	User Experience Engineering	5	January
02285	Artificial Intelligence and Multi-Agent Systems	7.5	Spring F4A (Tues 13-17)
02289	Algorithmic Techniques for Modern Data Models	5	Autumn E1A (Mon 8-12)
02455	Experiment in Cognitive Science	5	Autumn E5A (Wed 8-12)
02456	Deep learning	5	Autumn E2A (Mon 13-17)
02458	Cognitive Modelling	5	Autumn E2B (Thurs 8-12)
02460	Advanced Machine Learning	5	Spring F1B (Thurs 13-17)
02471	Machine learning for signal processing	5	Autumn E1B (Thurs 13-17)
02477	Bayesian machine learning	5	Spring F2A (Mon 13-17)
02506	Advanced Image Analysis	5	Spring F5B (Wed 13-17)
02507	Project work within Image Analysis and Computer Graphics	5	January
02562	Rendering - Introduction	5	Autumn E5B (Wed 13-17)
02580	Geometric Data Analysis and Processing	5	Spring F5B (Wed 13-17)
02614	High-Performance Computing	5	January
02808	Personal Data Interaction for Mobile and Wearables	10	Spring F5 (Wed 8-17)
02830	Advanced Project in Digital Media Engineering	10	Autumn E5B (Wed 13-17)
02840	Computer Game Programming Fundamentals (DADIU)	15	Autumn
02841	Computer Game Programming in a Production (DADIU)	15	Autumn
42081	Staging co-creation and creativity	5	Autumn E1B (Thurs 13-17)
